stability frontier,arrive time
1608390326399747,-1
9999,1608391340332404
19999,1608392153142747
29999,1608392969289624
39999,1608393784816656
49999,1608394614260795
59999,1608395448074669
69999,1608396291382100
79999,1608397111953966
89999,1608397953193449
99999,1608398790728148
109999,1608399626607673
119999,1608400472708296
129999,1608401349444616
139999,1608402189398387
149999,1608403057100727
159999,1608403900692730
169999,1608404722872510
179999,1608405556194469
189999,1608406397198054
199999,1608407236026574
209999,1608408062307209
219999,1608408890020404
229999,1608409708406392
239999,1608410532739524
249999,1608411356680816
259999,1608412164184824
269999,1608412995612376
279999,1608413804886792
289999,1608414656075192
299999,1608415478382456
309999,1608416311856011
319999,1608417138232259
329999,1608417967535915
339999,1608418795807305
349999,1608419618639076
359999,1608420444286534
369999,1608421266041097
379999,1608422092013834
389999,1608422917038713
399999,1608423740386613
409999,1608424567672806
419999,1608425394799640
429999,1608426221916426
439999,1608427044523026
449999,1608427882311992
459999,1608428699988909
469999,1608429582794279
479999,1608430416655990
489999,1608431250067379
499999,1608432095509938
509999,1608432963616194
